lad_2019,imd_rank
E06000001,25
E06000002,16
E06000003,62
E06000004,113
E06000005,103
E06000006,39
E06000007,175
E06000008,14
E06000009,1
E06000010,9
E06000011,217
E06000012,66
E06000013,120
E06000014,275
E06000015,90
E06000016,22
E06000017,303
E06000018,10
E06000019,137
E06000020,99
E06000021,15
E06000022,274
E06000023,82
E06000024,221
E06000025,267
E06000026,72
E06000027,48
E06000030,171
E06000031,53
E06000032,52
E06000033,129
E06000034,116
E06000035,98
E06000036,284
E06000037,289
E06000038,141
E06000039,73
E06000040,304
E06000041,316
E06000042,172
E06000043,140
E06000044,57
E06000045,55
E06000046,80
E06000047,65
E06000049,228
E06000050,183
E06000051,165
E06000052,83
E06000053,245
E06000054,231
E06000055,156
E06000056,264
E06000057,131
E06000058,166
E06000059,197
E07000004,277
E07000005,315
E07000006,292
E07000007,280
E07000008,205
E07000009,266
E07000010,51
E07000011,247
E07000012,300
E07000026,109
E07000027,44
E07000028,115
E07000029,78
E07000030,169
E07000031,242
E07000032,167
E07000033,58
E07000034,86
E07000035,265
E07000036,168
E07000037,202
E07000038,177
E07000039,218
E07000040,238
E07000041,193
E07000042,162
E07000043,123
E07000044,219
E07000045,186
E07000046,67
E07000047,139
E07000061,106
E07000062,13
E07000063,194
E07000064,135
E07000065,254
E07000066,111
E07000067,203
E07000068,287
E07000069,182
E07000070,260
E07000071,181
E07000072,200
E07000073,100
E07000074,211
E07000075,286
E07000076,32
E07000077,295
E07000078,237
E07000079,272
E07000080,143
E07000081,138
E07000082,279
E07000083,261
E07000084,246
E07000085,285
E07000086,288
E07000087,298
E07000088,130
E07000089,317
E07000090,133
E07000091,241
E07000092,196
E07000093,262
E07000094,293
E07000095,153
E07000096,240
E07000098,224
E07000099,269
E07000102,291
E07000103,195
E07000105,152
E07000106,185
E07000107,145
E07000108,107
E07000109,119
E07000110,188
E07000111,253
E07000112,84
E07000113,69
E07000114,34
E07000115,236
E07000116,273
E07000117,11
E07000118,192
E07000119,198
E07000120,18
E07000121,112
E07000122,36
E07000123,46
E07000124,282
E07000125,91
E07000126,210
E07000127,178
E07000128,147
E07000129,281
E07000130,244
E07000131,308
E07000132,232
E07000133,248
E07000134,216
E07000135,249
E07000136,85
E07000137,30
E07000138,68
E07000139,268
E07000140,144
E07000141,234
E07000142,146
E07000143,127
E07000144,257
E07000145,24
E07000146,79
E07000147,94
E07000148,61
E07000149,225
E07000150,70
E07000151,243
E07000152,226
E07000153,161
E07000154,105
E07000155,312
E07000156,124
E07000163,239
E07000164,255
E07000165,278
E07000166,251
E07000167,180
E07000168,75
E07000169,252
E07000170,63
E07000171,108
E07000172,223
E07000173,207
E07000174,56
E07000175,148
E07000176,314
E07000177,220
E07000178,189
E07000179,302
E07000180,305
E07000181,301
E07000187,170
E07000188,121
E07000189,163
E07000192,126
E07000193,157
E07000194,250
E07000195,150
E07000196,235
E07000197,233
E07000198,204
E07000199,125
E07000200,212
E07000202,71
E07000203,229
E07000207,310
E07000208,299
E07000209,296
E07000210,294
E07000211,276
E07000212,256
E07000213,201
E07000214,309
E07000215,258
E07000216,313
E07000217,283
E07000218,155
E07000219,101
E07000220,222
E07000221,259
E07000222,263
E07000223,164
E07000224,149
E07000225,213
E07000226,136
E07000227,290
E07000228,311
E07000229,174
E07000234,271
E07000235,187
E07000236,118
E07000237,159
E07000238,191
E07000239,114
E07000240,306
E07000241,215
E07000242,307
E07000243,117
E07000244,158
E07000245,176
E07000246,142
E08000001,47
E08000002,110
E08000003,2
E08000004,29
E08000005,17
E08000006,20
E08000007,154
E08000008,23
E08000009,209
E08000010,97
E08000011,3
E08000012,4
E08000013,40
E08000014,89
E08000015,77
E08000016,38
E08000017,41
E08000018,50
E08000019,93
E08000021,74
E08000022,128
E08000023,26
E08000024,33
E08000025,6
E08000026,81
E08000027,104
E08000028,8
E08000029,206
E08000030,31
E08000031,19
E08000032,21
E08000033,76
E08000034,87
E08000035,92
E08000036,64
E08000037,54
E09000001,208
E09000002,5
E09000003,184
E09000004,190
E09000005,49
E09000006,230
E09000007,132
E09000008,102
E09000009,88
E09000010,59
E09000011,60
E09000012,7
E09000013,96
E09000014,37
E09000015,199
E09000016,179
E09000017,151
E09000018,95
E09000019,28
E09000020,122
E09000021,270
E09000022,42
E09000023,35
E09000024,214
E09000025,12
E09000026,160
E09000027,297
E09000028,43
E09000029,227
E09000030,27
E09000031,45
E09000032,173
E09000033,134
